description,industry,level,size,line_code,value,standard
Percentage of staff with internet access: 76-99%,"Food, beverage, & tobacco",2,total,B0300.04,144,Low
Percentage of staff with internet access: 76-99%,"Textile, clothing, footwear, & leather",2,total,B0300.04,21,Low
Percentage of staff with internet access: 76-99%,Wood & paper product,2,total,B0300.04,81,Low
Percentage of staff with internet access: 76-99%,"Printing, publishing, & recorded media",2,total,B0300.04,48,Low
Percentage of staff with internet access: 76-99%,"Petroleum, coal, chemical, & associated product",2,total,B0300.04,81,Low
Percentage of staff with internet access: 76-99%,Non-metallic mineral product,2,total,B0300.04,24,Low
Percentage of staff with internet access: 76-99%,Metal product,2,total,B0300.04,150,Low
Percentage of staff with internet access: 76-99%,Transport and industrial machinery & equipment,2,total,B0300.04,132,Low
Percentage of staff with internet access: 76-99%,Other machinery & equipment,2,total,B0300.04,27,Low
Percentage of staff with internet access: 76-99%,Other manufacturing,2,total,B0300.04,48,Low
Percentage of staff with internet access: 76-99%,"Electricity, gas, water, & waste services",1,total,B0300.04,36,Low
Percentage of staff with internet access: 76-99%,Construction,1,total,B0300.04,843,Low
Percentage of staff with internet access: 76-99%,Wholesale trade,1,total,B0300.04,525,Low
Percentage of staff with internet access: 76-99%,Machinery & equipment wholesaling,2,total,B0300.04,111,Low
Percentage of staff with internet access: 76-99%,Other wholesale trade,2,total,B0300.04,414,Low
Percentage of staff with internet access: 76-99%,Retail trade,1,total,B0300.04,462,Low
Percentage of staff with internet access: 76-99%,Accommodation & food services,1,total,B0300.04,417,Low
Percentage of staff with internet access: 76-99%,"Transport, postal, & warehousing",1,total,B0300.04,207,Low
Percentage of staff with internet access: 76-99%,Information media & telecommunications,1,total,B0300.04,15,Low
Percentage of staff with internet access: 76-99%,Publishing,2,total,B0300.04,3,Low
Percentage of staff with internet access: 76-99%,Motion picture,2,total,B0300.04,12,Low
Percentage of staff with internet access: 76-99%,Telecommunications,2,total,B0300.04,0,Low
Percentage of staff with internet access: 76-99%,Financial & insurance services,1,total,B0300.04,18,Low
Percentage of staff with internet access: 76-99%,Finance,2,total,B0300.04,15,Low
Percentage of staff with internet access: 76-99%,Insurance,2,total,B0300.04,0,Low
Percentage of staff with internet access: 76-99%,Auxiliary,2,total,B0300.04,3,Low
Percentage of staff with internet access: 76-99%,"Rental, hiring, & real estate services",1,total,B0300.04,54,Low
Percentage of staff with internet access: 76-99%,"Professional, scientific, & technical services",1,total,B0300.04,129,Low
Percentage of staff with internet access: 76-99%,Computer systems design,2,total,B0300.04,15,Low
Percentage of staff with internet access: 76-99%,Other professional scientific,2,total,B0300.04,117,Low
Percentage of staff with internet access: 76-99%,Administrative & support services,1,total,B0300.04,84,Low
Percentage of staff with internet access: 76-99%,Education & training,1,total,B0300.04,135,Low
Percentage of staff with internet access: 76-99%,Health care & social assistance,1,total,B0300.04,336,Low
Percentage of staff with internet access: 76-99%,Arts & recreation services,1,total,B0300.04,63,Low
Percentage of staff with internet access: 76-99%,Other services,1,total,B0300.04,189,Low
Percentage of staff with internet access: 76-99%,total,0,total,B0300.04,4653,High
Percentage of staff with internet access: 100%,total,0,6–19 employees,B0300.05,19671,High
Percentage of staff with internet access: 100%,total,0,20–49 employees,B0300.05,4110,High
Percentage of staff with internet access: 100%,total,0,50–99 employees,B0300.05,1071,High
Percentage of staff with internet access: 100%,total,0,100+ employees,B0300.05,840,Low
Percentage of staff with internet access: 100%,"Agriculture, forestry, & fishing",1,total,B0300.05,1035,High
Percentage of staff with internet access: 100%,Agriculture,2,total,B0300.05,729,Low
Percentage of staff with internet access: 100%,Commercial fishing,2,total,B0300.05,15,Low
Percentage of staff with internet access: 100%,Forestry & logging,2,total,B0300.05,21,Low
Percentage of staff with internet access: 100%,"Agriculture, forestry, & fishing support services",2,total,B0300.05,270,Low
Percentage of staff with internet access: 100%,Mining,1,total,B0300.05,27,Low
Percentage of staff with internet access: 100%,Manufacturing,1,total,B0300.05,1524,High
Percentage of staff with internet access: 100%,"Food, beverage, & tobacco",2,total,B0300.05,372,Low
Percentage of staff with internet access: 100%,"Textile, clothing, footwear, & leather",2,total,B0300.05,81,Low
Percentage of staff with internet access: 100%,Wood & paper product,2,total,B0300.05,81,Low
Percentage of staff with internet access: 100%,"Printing, publishing, & recorded media",2,total,B0300.05,78,Low
Percentage of staff with internet access: 100%,"Petroleum, coal, chemical, & associated product",2,total,B0300.05,123,Low
Percentage of staff with internet access: 100%,Non-metallic mineral product,2,total,B0300.05,66,Low
Percentage of staff with internet access: 100%,Metal product,2,total,B0300.05,210,Low
Percentage of staff with internet access: 100%,Transport and industrial machinery & equipment,2,total,B0300.05,249,Low
Percentage of staff with internet access: 100%,Other machinery & equipment,2,total,B0300.05,135,Low
Percentage of staff with internet access: 100%,Other manufacturing,2,total,B0300.05,132,Low
Percentage of staff with internet access: 100%,"Electricity, gas, water, & waste services",1,total,B0300.05,96,Low
Percentage of staff with internet access: 100%,Construction,1,total,B0300.05,2988,High
Percentage of staff with internet access: 100%,Wholesale trade,1,total,B0300.05,2079,High
Percentage of staff with internet access: 100%,Machinery & equipment wholesaling,2,total,B0300.05,822,Low
Percentage of staff with internet access: 100%,Other wholesale trade,2,total,B0300.05,1257,High
Percentage of staff with internet access: 100%,Retail trade,1,total,B0300.05,3216,High
Percentage of staff with internet access: 100%,Accommodation & food services,1,total,B0300.05,2373,High
Percentage of staff with internet access: 100%,"Transport, postal, & warehousing",1,total,B0300.05,843,Low
Percentage of staff with internet access: 100%,Information media & telecommunications,1,total,B0300.05,387,Low
Percentage of staff with internet access: 100%,Publishing,2,total,B0300.05,162,Low
Percentage of staff with internet access: 100%,Motion picture,2,total,B0300.05,102,Low
Percentage of staff with internet access: 100%,Telecommunications,2,total,B0300.05,120,Low
Percentage of staff with internet access: 100%,Financial & insurance services,1,total,B0300.05,609,Low
Percentage of staff with internet access: 100%,Finance,2,total,B0300.05,162,Low
Percentage of staff with internet access: 100%,Insurance,2,total,B0300.05,36,Low
Percentage of staff with internet access: 100%,Auxiliary,2,total,B0300.05,414,Low
Percentage of staff with internet access: 100%,"Rental, hiring, & real estate services",1,total,B0300.05,819,Low
Percentage of staff with internet access: 100%,"Professional, scientific, & technical services",1,total,B0300.05,4677,High
Percentage of staff with internet access: 100%,Computer systems design,2,total,B0300.05,921,Low
Percentage of staff with internet access: 100%,Other professional scientific,2,total,B0300.05,3756,High
Percentage of staff with internet access: 100%,Administrative & support services,1,total,B0300.05,990,Low
Percentage of staff with internet access: 100%,Education & training,1,total,B0300.05,840,Low
Percentage of staff with internet access: 100%,Health care & social assistance,1,total,B0300.05,2055,High
Percentage of staff with internet access: 100%,Arts & recreation services,1,total,B0300.05,243,Low
Percentage of staff with internet access: 100%,Other services,1,total,B0300.05,876,Low
Percentage of staff with internet access: 100%,total,0,total,B0300.05,25692,High
Percentage of staff with internet access: no use,total,0,6–19 employees,B0300.06,1905,High
Percentage of staff with internet access: no use,total,0,20–49 employees,B0300.06,150,Low
Percentage of staff with internet access: no use,total,0,50–99 employees,B0300.06,12,Low
Percentage of staff with internet access: no use,total,0,100+ employees,B0300.06,3,Low
Percentage of staff with internet access: no use,"Agriculture, forestry, & fishing",1,total,B0300.06,273,Low
Percentage of staff with internet access: no use,Agriculture,2,total,B0300.06,75,Low
Percentage of staff with internet access: no use,Commercial fishing,2,total,B0300.06,3,Low
Percentage of staff with internet access: no use,Forestry & logging,2,total,B0300.06,33,Low
Percentage of staff with internet access: no use,"Agriculture, forestry, & fishing support services",2,total,B0300.06,165,Low
Percentage of staff with internet access: no use,Mining,1,total,B0300.06,9,Low
Percentage of staff with internet access: no use,Manufacturing,1,total,B0300.06,105,Low
Percentage of staff with internet access: no use,"Food, beverage, & tobacco",2,total,B0300.06,45,Low
Percentage of staff with internet access: no use,"Textile, clothing, footwear, & leather",2,total,B0300.06,3,Low
Percentage of staff with internet access: no use,Wood & paper product,2,total,B0300.06,3,Low
Percentage of staff with internet access: no use,"Printing, publishing, & recorded media",2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,"Petroleum, coal, chemical, & associated product",2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Non-metallic mineral product,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Metal product,2,total,B0300.06,51,Low
Percentage of staff with internet access: no use,Transport and industrial machinery & equipment,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Other machinery & equipment,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Other manufacturing,2,total,B0300.06,3,Low
Percentage of staff with internet access: no use,"Electricity, gas, water, & waste services",1,total,B0300.06,3,Low
Percentage of staff with internet access: no use,Construction,1,total,B0300.06,426,Low
Percentage of staff with internet access: no use,Wholesale trade,1,total,B0300.06,12,Low
Percentage of staff with internet access: no use,Machinery & equipment wholesaling,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Other wholesale trade,2,total,B0300.06,9,Low
Percentage of staff with internet access: no use,Retail trade,1,total,B0300.06,189,Low
Percentage of staff with internet access: no use,Accommodation & food services,1,total,B0300.06,783,Low
Percentage of staff with internet access: no use,"Transport, postal, & warehousing",1,total,B0300.06,102,Low
Percentage of staff with internet access: no use,Information media & telecommunications,1,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Publishing,2,total,B0300.06,0,Low
